hobby,tier
watching football,common
watching college football,common
watching basketball,common
watching baseball,common
watching hockey,common
watching soccer,common
watching golf,common
watching motorsports,common
watching MMA,common
playing basketball,common
playing golf,common
playing tennis,common
playing pickleball,common
playing softball,common
playing soccer,common
playing volleyball,common
bowling,common
running,common
jogging,common
going to the gym,common
weightlifting,common
yoga,common
pilates,common
swimming,common
cycling,common
hiking,common
camping,common
fishing,common
hunting,common
kayaking,common
skiing,common
video games,common
mobile gaming,common
board games,common
playing cards,common
poker,common
chess,common
crossword puzzles,common
sudoku,common
jigsaw puzzles,common
trivia nights,common
fantasy football,common
reading novels,common
book clubs,common
true crime podcasts,common
podcasts,common
watching movies,common
streaming TV shows,common
watching anime,common
live concerts,common
visiting museums,common
cooking,common
baking,common
grilling,common
barbecue,common
meal prepping,common
wine tasting,common
gardening,common
collecting houseplants,common
home improvement,common
woodworking,common
working on cars,common
photography,common
drawing,common
painting,common
knitting,common
crocheting,common
sewing,common
scrapbooking,common
journaling,common
playing guitar,common
playing piano,common
singing in a choir,common
karaoke,common
dancing,common
thrift shopping,common
flea markets,common
travel,common
road trips,common
going to the beach,common
visiting national parks,common
visiting theme parks,common
volunteering,common
church activities,common
walking the dog,common
birdwatching,common
genealogy research,common
listening to country music,common
watching reality TV,common
picnics in the park,common
stargazing,common
snowboarding,niche
skateboarding,niche
surfing,niche
rock climbing,niche
mountain biking,niche
martial arts,niche
archery,niche
ice skating,niche
roller skating,niche
horseback riding,niche
disc golf,niche
running marathons,niche
triathlon,niche
CrossFit,niche
salsa dancing,niche
ballroom dancing,niche
line dancing,niche
improv comedy,niche
stand-up comedy,niche
community theater,niche
pottery,niche
candle making,niche
soap making,niche
leathercraft,niche
blacksmithing,niche
beekeeping,niche
mushroom foraging,niche
home canning,niche
homebrewing,niche
craft beer tasting,niche
quilting,niche
collecting sneakers,niche
collecting sports cards,niche
coin collecting,niche
collecting vinyl records,niche
reading comics,niche
watching esports,niche
amateur astronomy,niche
3D printing,niche
flying drones,niche
radio-controlled cars,niche
model trains,niche
amateur radio,niche
metal detecting,niche
keeping aquariums,niche
geocaching,niche
escape rooms,niche
antiquing,niche
lockpicking,niche
