age_band,gender,education,income_quintile,weight
80+,female,below_secondary,1,210618.8281515121
80+,female,below_secondary,2,168495.0625212097
80+,female,below_secondary,3,120353.61608657835
80+,female,below_secondary,4,72212.169651947
80+,female,below_secondary,5,30088.404021644586
80+,female,tertiary,1,69252.64958866578
80+,female,tertiary,2,121192.13678016512
80+,female,tertiary,3,173131.62397166446
80+,female,tertiary,4,242384.27356033024
80+,female,tertiary,5,259697.43595749664
80+,female,secondary,1,440837.145935669
80+,female,secondary,2,484920.86052923586
80+,female,secondary,3,484920.86052923586
80+,female,secondary,4,440837.145935669
80+,female,secondary,5,352669.71674853517
50-59,male,below_secondary,1,301181.99423662387
50-59,male,below_secondary,2,240945.59538929912
50-59,male,below_secondary,3,172103.9967066422
50-59,male,below_secondary,4,103262.39802398533
50-59,male,below_secondary,5,43025.99917666055
50-59,male,secondary,1,590158.05565448
50-59,male,secondary,2,649173.8612199279
50-59,male,secondary,3,649173.8612199279
50-59,male,secondary,4,590158.05565448
50-59,male,secondary,5,472126.444523584
50-59,male,tertiary,1,158678.94399140318
50-59,male,tertiary,2,277688.1519849556
50-59,male,tertiary,3,396697.359978508
50-59,male,tertiary,4,555376.3039699112
50-59,male,tertiary,5,595046.039967762
20-29,male,below_secondary,1,295243.7255737248
20-29,male,below_secondary,2,236194.98045897987
20-29,male,below_secondary,3,168710.70032784276
20-29,male,below_secondary,4,101226.42019670564
20-29,male,below_secondary,5,42177.67508196069
20-29,male,secondary,1,446776.71933069616
20-29,male,secondary,2,491454.39126376575
20-29,male,secondary,3,491454.39126376575
20-29,male,secondary,4,446776.71933069616
20-29,male,secondary,5,357421.3754645569
20-29,male,tertiary,1,144751.1921365845
20-29,male,tertiary,2,253314.58623902287
20-29,male,tertiary,3,361877.98034146125
20-29,male,tertiary,4,506629.17247804574
20-29,male,tertiary,5,542816.9705121918
70-79,female,below_secondary,1,242049.66754388803
70-79,female,below_secondary,2,193639.73403511045
70-79,female,below_secondary,3,138314.0957393646
70-79,female,below_secondary,4,82988.45744361875
70-79,female,below_secondary,5,34578.52393484115
70-79,female,tertiary,1,79587.28550807192
70-79,female,tertiary,2,139277.74963912586
70-79,female,tertiary,3,198968.21377017978
70-79,female,tertiary,4,278555.4992782517
