age_band,gender,education,income_quintile,weight
40-49,male,tertiary,1,356194.9788970947
40-49,male,tertiary,2,623341.2130699159
40-49,male,tertiary,3,890487.4472427368
40-49,male,tertiary,4,1246682.4261398318
40-49,male,tertiary,5,1335731.1708641052
40-49,male,below_secondary,1,288937.8858921984
40-49,male,below_secondary,2,231150.30871375877
40-49,male,below_secondary,3,165107.36336697056
40-49,male,below_secondary,4,99064.41802018232
40-49,male,below_secondary,5,41276.84084174264
40-49,male,secondary,1,561005.1893902926
40-49,male,secondary,2,617105.7083293218
40-49,male,secondary,3,617105.7083293218
40-49,male,secondary,4,561005.1893902926
40-49,male,secondary,5,448804.15151223406
50-59,female,tertiary,1,384818.02371521
50-59,female,tertiary,2,673431.5415016175
50-59,female,tertiary,3,962045.0592880249
50-59,female,tertiary,4,1346863.083003235
50-59,female,tertiary,5,1443067.5889320374
50-59,female,below_secondary,1,312239.81643606623
50-59,female,below_secondary,2,249791.85314885303
50-59,female,below_secondary,3,178422.75224918072
50-59,female,below_secondary,4,107053.65134950842
50-59,female,below_secondary,5,44605.68806229518
50-59,female,secondary,1,688132.1884627944
50-59,female,secondary,2,756945.4073090738
50-59,female,secondary,3,756945.4073090738
50-59,female,secondary,4,688132.1884627944
50-59,female,secondary,5,550505.7507702356
60-69,female,tertiary,1,284537.355456543
60-69,female,tertiary,2,497940.37204895023
60-69,female,tertiary,3,711343.3886413574
60-69,female,tertiary,4,995880.7440979005
60-69,female,tertiary,5,1067015.0829620361
60-69,female,below_secondary,1,273495.96960368304
60-69,female,below_secondary,2,218796.77568294646
60-69,female,below_secondary,3,156283.41120210462
60-69,female,below_secondary,4,93770.04672126276
60-69,female,below_secondary,5,39070.852800526154
60-69,female,secondary,1,651973.200156538
60-69,female,secondary,2,717170.5201721918
60-69,female,secondary,3,717170.5201721918
60-69,female,secondary,4,651973.200156538
60-69,female,secondary,5,521578.5601252304
30-39,female,tertiary,1,342628.29180908203
30-39,female,tertiary,2,599599.5106658936
30-39,female,tertiary,3,856570.7295227051
30-39,female,tertiary,4,1199199.021331787
30-39,female,tertiary,5,1284856.0942840576
30-39,female,below_secondary,1,151670.10508069303
30-39,female,below_secondary,2,121336.08406455444
30-39,female,below_secondary,3,86668.63147468174
30-39,female,below_secondary,4,52001.17888480904
30-39,female,below_secondary,5,21667.157868670434
30-39,female,secondary,1,337960.63900261326
30-39,female,secondary,2,371756.70290287456
30-39,female,secondary,3,371756.70290287456
30-39,female,secondary,4,337960.63900261326
30-39,female,secondary,5,270368.5112020906
60-69,male,tertiary,1,292950.36591796874
60-69,male,tertiary,2,512663.14035644534
60-69,male,tertiary,3,732375.9147949219
60-69,male,tertiary,4,1025326.2807128907
60-69,male,tertiary,5,1098563.8721923828
60-69,male,below_secondary,1,249995.13444580362
