age_band,gender,education,income_quintile,weight
40-49,male,tertiary,1,1141355.0964599054
40-49,male,tertiary,2,1623548.3261698766
40-49,male,tertiary,3,2037433.9090132304
40-49,male,tertiary,4,2520021.6354909707
40-49,male,tertiary,5,2833367.878388536
40-49,male,below_secondary,1,830430.2130244747
40-49,male,below_secondary,2,540007.1592747741
40-49,male,below_secondary,3,338834.66222772986
40-49,male,below_secondary,4,179610.5264478845
40-49,male,below_secondary,5,78533.69245448288
40-49,male,secondary,1,2306667.163583934
40-49,male,secondary,2,2062452.7491133595
40-49,male,secondary,3,1811758.7073530727
40-49,male,secondary,4,1455125.2469574069
40-49,male,secondary,5,1221591.0331296322
30-39,male,below_secondary,1,771639.0064233256
30-39,male,below_secondary,2,501776.7674018722
30-39,male,below_secondary,3,314846.49522919365
30-39,male,below_secondary,4,166894.80464185777
30-39,male,below_secondary,5,72973.81461546864
30-39,male,tertiary,1,1247412.0921824884
30-39,male,tertiary,2,1774411.6801059789
30-39,male,tertiary,3,2226756.3381533627
30-39,male,tertiary,4,2754187.080272399
30-39,male,tertiary,5,3096650.0820522346
30-39,male,secondary,1,2677457.21221539
30-39,male,secondary,2,2393986.039748854
30-39,male,secondary,3,2102993.658720805
30-39,male,secondary,4,1689032.4051301044
30-39,male,secondary,5,1417958.2445473897
30-39,female,secondary,1,2169884.1526350477
30-39,female,secondary,2,1940151.4039443354
30-39,female,secondary,3,1704323.2632556371
30-39,female,secondary,4,1368837.8034420072
30-39,female,secondary,5,1149151.9303853868
30-39,female,below_secondary,1,586948.9964102345
30-39,female,below_secondary,2,381677.6596269248
30-39,female,below_secondary,3,239488.71539637187
30-39,female,below_secondary,4,126948.91947554017
30-39,female,below_secondary,5,55507.701005563235
30-39,female,tertiary,1,1512829.3454845026
30-39,female,tertiary,2,2151960.909676732
30-39,female,tertiary,3,2700552.8924351665
30-39,female,tertiary,4,3340207.3493615068
30-39,female,tertiary,5,3755537.681720876
60-69,male,below_secondary,1,838678.0356733956
60-69,male,below_secondary,2,545370.503730444
60-69,male,below_secondary,3,342199.96392019
60-69,male,below_secondary,4,181394.4159846417
60-69,male,below_secondary,5,79313.68812078981
60-69,male,secondary,1,2352027.1124710077
60-69,male,secondary,2,2103010.291509912
60-69,male,secondary,3,1847386.4232449317
60-69,male,secondary,4,1483739.8680298843
60-69,male,secondary,5,1245613.270797235
60-69,male,tertiary,1,952890.9896391176
60-69,male,tertiary,2,1355462.9720841604
60-69,male,tertiary,3,1701006.4789701614
60-69,male,tertiary,4,2103907.817648521
60-69,male,tertiary,5,2365513.3534020027
50-59,female,below_secondary,1,735240.4507016549
50-59,female,below_secondary,2,478107.73372669145
50-59,female,below_secondary,3,299995.0457755287
50-59,female,below_secondary,4,159022.30235018212
50-59,female,below_secondary,5,69531.60726799973
50-59,female,secondary,1,2148586.6430551154
50-59,female,secondary,2,1921108.7315224707
50-59,female,secondary,3,1687595.2545357184
50-59,female,secondary,4,1355402.5994488446
50-59,female,secondary,5,1137872.9530185715
50-59,female,tertiary,1,1174096.3865748541
50-59,female,tertiary,2,1670121.9708906491
50-59,female,tertiary,3,2095880.4125702225
50-59,female,tertiary,4,2592311.8103186553
50-59,female,tertiary,5,2914646.8072656468
20-29,female,secondary,1,2244089.20801274
20-29,female,secondary,2,2006500.1268454934
20-29,female,secondary,3,1762607.2052706014
20-29,female,secondary,4,1415648.913096937
20-29,female,secondary,5,1188450.2876401176
20-29,female,below_secondary,1,470038.848511815
20-29,female,below_secondary,2,305654.03251551767
20-29,female,below_secondary,3,191786.68113405685
20-29,female,below_secondary,4,101662.87751584534
20-29,female,below_secondary,5,44451.52138220459
20-29,female,tertiary,1,1462778.7236084384
20-29,female,tertiary,2,2080765.184855697
20-29,female,tertiary,3,2611207.4867031667
20-29,female,tertiary,4,3229699.5412405557
20-29,female,tertiary,5,3631289.036617467
80+,male,below_secondary,1,261294.79627030136
80+,male,below_secondary,2,169913.20697895624
80+,male,below_secondary,3,106614.29780313365
80+,male,below_secondary,4,56514.436951029355
80+,male,below_secondary,5,24710.61968652605
80+,male,secondary,1,732787.0994998483
80+,male,secondary,2,655204.5270068598
80+,male,secondary,3,575563.4922604399
80+,male,secondary,4,462267.3899212152
80+,male,secondary,5,388077.72706628393
80+,male,tertiary,1,296878.47590481205
80+,male,tertiary,2,422302.0111147796
80+,male,tertiary,3,529958.0082839532
80+,male,tertiary,4,655484.1562561784
80+,male,tertiary,5,736988.8127039943
40-49,female,secondary,1,1962529.9840879124
40-49,female,secondary,2,1754750.500982813
40-49,female,secondary,3,1541458.101648388
40-49,female,secondary,4,1238031.6383921704
40-49,female,secondary,5,1039338.9513053589
40-49,female,tertiary,1,1385777.5509664007
40-49,female,tertiary,2,1971232.9933897355
40-49,female,tertiary,3,2473752.630925792
40-49,female,tertiary,4,3059687.052035426
40-49,female,tertiary,5,3440136.738932991
40-49,female,below_secondary,1,699988.3648761358
40-49,female,below_secondary,2,455184.21959319495
40-49,female,below_secondary,3,285611.38245719887
40-49,female,below_secondary,4,151397.76558092452
40-49,female,below_secondary,5,66197.82145050468
80+,female,below_secondary,1,325774.04327760305
80+,female,below_secondary,2,211842.38352201058
80+,female,below_secondary,3,132923.316354911
80+,female,below_secondary,4,70460.40293144014
80+,female,below_secondary,5,30808.41487117551
80+,female,secondary,1,1031681.7384339869
80+,female,secondary,2,922454.2106617633
80+,female,secondary,3,810328.5997797649
80+,female,secondary,4,650820.442637118
80+,female,secondary,5,546369.749659242
80+,female,tertiary,1,467671.8846498722
80+,female,tertiary,2,665251.2507939582
80+,female,tertiary,3,834841.4608505197
80+,female,tertiary,4,1032582.4726099303
80+,female,tertiary,5,1160976.544199384
18-19,female,secondary,1,425852.2481291677
18-19,female,secondary,2,380765.87456400355
18-19,female,secondary,3,334483.2452529193
18-19,female,secondary,4,268642.29374277196
18-19,female,secondary,5,225527.6773196917
18-19,female,below_secondary,1,89197.47915193622
18-19,female,below_secondary,2,58002.79972459093
18-19,female,below_secondary,3,36394.62684038997
18-19,female,below_secondary,4,19292.176437023856
18-19,female,below_secondary,5,8435.395636582956
18-19,female,tertiary,1,277585.93809013604
18-19,female,tertiary,2,394858.87131215626
18-19,female,tertiary,3,495518.8833731709
18-19,female,tertiary,4,612887.7611050939
18-19,female,tertiary,5,689095.8676369908
50-59,male,below_secondary,1,806879.7400643552
50-59,male,below_secondary,2,524692.8995051858
50-59,male,below_secondary,3,329225.526594667
50-59,male,below_secondary,4,174516.88609120945
50-59,male,below_secondary,5,76306.526858145
50-59,male,tertiary,1,995652.4596660997
50-59,male,tertiary,2,1416290.0655121412
50-59,male,tertiary,3,1777340.0138204927
50-59,male,tertiary,4,2198321.7559291013
50-59,male,tertiary,5,2471666.973763377
50-59,male,secondary,1,2260722.4251932884
50-59,male,secondary,2,2021372.330795073
50-59,male,secondary,3,1775671.6718455409
50-59,male,secondary,4,1426141.7204857299
50-59,male,secondary,5,1197259.095985178
70-79,male,below_secondary,1,583708.1509132761
70-79,male,below_secondary,2,379570.22212885163
70-79,male,below_secondary,3,238166.3757559406
70-79,male,below_secondary,4,126247.96958629551
70-79,male,below_secondary,5,55201.214609043964
70-79,male,secondary,1,1636977.88462531
70-79,male,secondary,2,1463665.6695357654
70-79,male,secondary,3,1285755.0421822702
70-79,male,secondary,4,1032662.1396596397
70-79,male,secondary,5,866929.3675567713
70-79,male,tertiary,1,663198.7651108284
70-79,male,tertiary,2,943383.2190816688
70-79,male,tertiary,3,1183876.653850793
70-79,male,tertiary,4,1464290.3351410162
70-79,male,tertiary,5,1646364.1191775012
20-29,male,below_secondary,1,642394.260586364
20-29,male,below_secondary,2,417732.2722041153
20-29,male,below_secondary,3,262111.6607861157
20-29,male,below_secondary,4,138940.96038581358
20-29,male,below_secondary,5,60751.15344331478
20-29,male,tertiary,1,1231226.361236177
