category,gender,age_band,participation_rate,source
tv_media,male,15-24,0.6122,eurostat:tus_20age:AC821+AC831+AC81_X_812
tv_media,male,25-34,0.6923,eurostat:tus_20age:AC821+AC831+AC81_X_812
tv_media,male,35-44,0.7686,eurostat:tus_20age:AC821+AC831+AC81_X_812
tv_media,male,45-54,0.8209,eurostat:tus_20age:AC821+AC831+AC81_X_812
tv_media,male,55-64,0.8688,eurostat:tus_20age:AC821+AC831+AC81_X_812
tv_media,male,65+,0.9526,eurostat:tus_20age:AC821+AC831+AC81_X_812
tv_media,female,15-24,0.6662,eurostat:tus_20age:AC821+AC831+AC81_X_812
tv_media,female,25-34,0.6858,eurostat:tus_20age:AC821+AC831+AC81_X_812
tv_media,female,35-44,0.7534,eurostat:tus_20age:AC821+AC831+AC81_X_812
tv_media,female,45-54,0.8016,eurostat:tus_20age:AC821+AC831+AC81_X_812
tv_media,female,55-64,0.8627,eurostat:tus_20age:AC821+AC831+AC81_X_812
tv_media,female,65+,0.9441,eurostat:tus_20age:AC821+AC831+AC81_X_812
socializing,male,15-24,0.5895,eurostat:tus_20age:AC511+AC512_513_519+AC514-516
socializing,male,25-34,0.5321,eurostat:tus_20age:AC511+AC512_513_519+AC514-516
socializing,male,35-44,0.4914,eurostat:tus_20age:AC511+AC512_513_519+AC514-516
socializing,male,45-54,0.5218,eurostat:tus_20age:AC511+AC512_513_519+AC514-516
socializing,male,55-64,0.5475,eurostat:tus_20age:AC511+AC512_513_519+AC514-516
socializing,male,65+,0.6141,eurostat:tus_20age:AC511+AC512_513_519+AC514-516
socializing,female,15-24,0.7099,eurostat:tus_20age:AC511+AC512_513_519+AC514-516
socializing,female,25-34,0.6245,eurostat:tus_20age:AC511+AC512_513_519+AC514-516
socializing,female,35-44,0.5959,eurostat:tus_20age:AC511+AC512_513_519+AC514-516
socializing,female,45-54,0.6176,eurostat:tus_20age:AC511+AC512_513_519+AC514-516
socializing,female,55-64,0.6673,eurostat:tus_20age:AC511+AC512_513_519+AC514-516
socializing,female,65+,0.7228,eurostat:tus_20age:AC511+AC512_513_519+AC514-516
sports_exercise,male,15-24,0.2898,eurostat:tus_20age:AC6_X_611+AC611
sports_exercise,male,25-34,0.3231,eurostat:tus_20age:AC6_X_611+AC611
sports_exercise,male,35-44,0.2797,eurostat:tus_20age:AC6_X_611+AC611
sports_exercise,male,45-54,0.2877,eurostat:tus_20age:AC6_X_611+AC611
sports_exercise,male,55-64,0.3311,eurostat:tus_20age:AC6_X_611+AC611
sports_exercise,male,65+,0.3929,eurostat:tus_20age:AC6_X_611+AC611
sports_exercise,female,15-24,0.3033,eurostat:tus_20age:AC6_X_611+AC611
sports_exercise,female,25-34,0.3265,eurostat:tus_20age:AC6_X_611+AC611
sports_exercise,female,35-44,0.2898,eurostat:tus_20age:AC6_X_611+AC611
sports_exercise,female,45-54,0.3060,eurostat:tus_20age:AC6_X_611+AC611
sports_exercise,female,55-64,0.3480,eurostat:tus_20age:AC6_X_611+AC611
sports_exercise,female,65+,0.4136,eurostat:tus_20age:AC6_X_611+AC611
volunteering,male,15-24,0.0907,eurostat:tus_20age:AC4
volunteering,male,25-34,0.0945,eurostat:tus_20age:AC4
volunteering,male,35-44,0.0949,eurostat:tus_20age:AC4
volunteering,male,45-54,0.1215,eurostat:tus_20age:AC4
volunteering,male,55-64,0.1633,eurostat:tus_20age:AC4
volunteering,male,65+,0.2494,eurostat:tus_20age:AC4
volunteering,female,15-24,0.0925,eurostat:tus_20age:AC4
volunteering,female,25-34,0.0873,eurostat:tus_20age:AC4
volunteering,female,35-44,0.1081,eurostat:tus_20age:AC4
volunteering,female,45-54,0.1476,eurostat:tus_20age:AC4
volunteering,female,55-64,0.2213,eurostat:tus_20age:AC4
volunteering,female,65+,0.2416,eurostat:tus_20age:AC4
hobbies_and_games,male,15-24,0.5434,eurostat:tus_20age:AC711_712_719_731_732_739+AC72+AC733-735+AC812
hobbies_and_games,male,25-34,0.4303,eurostat:tus_20age:AC711_712_719_731_732_739+AC72+AC733-735+AC812
hobbies_and_games,male,35-44,0.4556,eurostat:tus_20age:AC711_712_719_731_732_739+AC72+AC733-735+AC812
hobbies_and_games,male,45-54,0.4438,eurostat:tus_20age:AC711_712_719_731_732_739+AC72+AC733-735+AC812
hobbies_and_games,male,55-64,0.4458,eurostat:tus_20age:AC711_712_719_731_732_739+AC72+AC733-735+AC812
hobbies_and_games,male,65+,0.6065,eurostat:tus_20age:AC711_712_719_731_732_739+AC72+AC733-735+AC812
hobbies_and_games,female,15-24,0.4210,eurostat:tus_20age:AC711_712_719_731_732_739+AC72+AC733-735+AC812
hobbies_and_games,female,25-34,0.3748,eurostat:tus_20age:AC711_712_719_731_732_739+AC72+AC733-735+AC812
hobbies_and_games,female,35-44,0.4356,eurostat:tus_20age:AC711_712_719_731_732_739+AC72+AC733-735+AC812
hobbies_and_games,female,45-54,0.4508,eurostat:tus_20age:AC711_712_719_731_732_739+AC72+AC733-735+AC812
hobbies_and_games,female,55-64,0.4782,eurostat:tus_20age:AC711_712_719_731_732_739+AC72+AC733-735+AC812
hobbies_and_games,female,65+,0.5609,eurostat:tus_20age:AC711_712_719_731_732_739+AC72+AC733-735+AC812
